局数,龙,和,虎,赢,下注(龙),下注(虎)
418,19000,0,5131000,龙,18000,0
419,4200,0,1000,龙,0,0
420,3000,0,1000,虎,0,0
421,1000,0,1000,龙,0,0
422,2000,0,3000,龙,0,0
423,2900,0,1000,虎,0,0
424,1000,0,2000,龙,0,0
425,21000,900,2214000,龙,18000,0
426,6200,1000,1000,龙,0,0
427,1000,1000,4400,龙,0,0
428,5300,0,11000,龙,4000,0
429,10600,3000,39700,龙,12000,0
430,8200,2000,71000,虎,6000,0
431,1000,1900,13800,龙,0,0
432,7000,3000,13000,虎,6000,0
433,2000,1000,5000,虎,1000,0
434,1000,0,2600,和,0,0
435,1900,0,2000,龙,0,0
436,1000,0,3300,虎,0,0
437,1700,100,1600,龙,0,0
438,2100,0,4300,和,1000,0
439,2100,0,1500,虎,0,0
440,31400,0,4000,和,0,6000
441,5000,0,2000,龙,0,1000
442,2500,0,1000,虎,0,0
443,1000,0,3000,虎,0,0
444,1000,0,1000,虎,0,0
445,1000,0,3300,和,0,0
446,1200,1100,1200,龙,0,0
447,1700,0,3200,虎,0,0
448,25600,12000,231100,龙,24000,0
449,7200,20000,421000,龙,6000,0
450,19000,1100,54100,虎,18000,0
451,19000,1000,43200,虎,18000,0
452,1000,0,1000,龙,0,0
453,1000,0,1000,龙,0,0
454,1000,0,1000,虎,0,0
455,1000,0,1000,虎,0,0
456,1000,0,1000,虎,0,0
457,1000,0,1000,虎,0,0
458,1000,0,1000,虎,0,0
459,1000,0,2500,虎,0,0
460,2000,500,3400,虎,1000,0
461,5100,600,3000,龙,0,2000
462,8200,200,4000,虎,0,3000
463,1000,0,1300,龙,0,0
464,1000,100,1300,龙,0,0
465,86100,0,2051100,龙,24000,0
466,1000,0,1000,龙,0,0
467,2100,100,1000,龙,0,0
468,1400,200,2400,虎,0,0
469,2000,300,3700,虎,1000,0
470,4000,300,6000,龙,3000,0
471,1000,0,1000,龙,0,0
472,1000,0,4000,龙,0,0
473,6000,400,7800,虎,5000,0
474,4000,100,2500,龙,0,0
475,2600,0,2000,虎,0,0
476,5000,100,3000,虎,0,2000
477,1100,1000,5100,虎,0,0
478,378000,1800,38100,虎,0,24000
479,1000,300,2800,虎,0,0
480,7000,1500,2000,虎,0,3000
481,17500,1500,9000,虎,0,8000
482,41000,3600,7100,虎,0,6000
483,21200,5000,12200,龙,0,11000
484,1000,1700,1300,和,0,0
485,5000,0,2000,虎,0,0
486,3000,1000,8000,虎,0,0
487,7100,0,3000,虎,0,2000
