局数,龙,和,虎,赢,下注(龙),下注(虎)
383,600,200,400,虎,0,0
384,400,0,900,龙,0,0
385,6100,0,200,虎,0,0
386,0,400,0,龙,0,0
387,0,0,300,和,0,0
388,300,200,200,虎,0,0
389,1200,600,2000,龙,0,0
390,4000,1400,400,龙,0,0
391,3500,200,7000,虎,0,0
392,3000,1300,6500,虎,0,0
393,11200,1500,6100,虎,0,0
394,13300,800,2100,龙,0,0
395,1600,600,2100,龙,0,0
396,3000,0,1000,龙,0,0
397,500,0,0,和,0,0
398,4000,500,2000,龙,0,0
399,2700,0,500,虎,0,0
400,11000,0,0,龙,0,0
401,12100,300,100,龙,0,0
402,20000,600,18600,龙,0,0
403,300,0,10700,虎,0,0
404,2300,100,500,龙,0,0
405,400,300,23500,和,0,0
406,70200,0,96300,龙,0,0
407,200,0,1700,龙,0,0
408,200,100,69600,龙,0,0
409,700,200,900,龙,0,0
410,2000,500,600,龙,0,0
411,200,1200,104000,虎,0,0
412,2800,100,200,虎,0,0
413,600,0,5900,虎,0,0
414,9400,3000,1400,龙,0,0
415,9000,1100,600,龙,0,0
416,10100,200,800,和,0,0
417,13100,400,300,龙,0,0
418,24800,300,200,龙,0,0
419,45500,0,2900,虎,0,0
420,2700,100,2200,龙,0,0
421,4000,500,500,虎,0,0
422,1200,100,1600,龙,0,0
423,500,0,0,龙,0,0
424,0,0,1300,龙,0,0
425,1000,0,500,虎,0,0
426,0,0,500,虎,0,0
427,0,0,500,龙,0,0
428,1000,0,0,龙,0,0
429,0,0,500,虎,0,0
430,100,0,0,龙,0,0
431,0,0,1700,虎,0,0
432,6900,0,1000,龙,0,0
433,0,100,4200,虎,0,0
434,2000,0,1100,虎,0,0
435,0,0,2600,龙,0,0
436,3800,100,5500,和,0,0
437,4900,0,2800,龙,0,0
438,1800,0,9400,龙,0,0
439,2300,0,1000,龙,0,0
440,20000,0,3600,虎,0,0
441,13900,0,1900,龙,0,0
442,4000,0,16000,虎,0,0
443,2600,0,33900,虎,0,0
444,36600,100,0,和,0,0
445,46600,0,1800,龙,0,0
446,800,0,91700,虎,0,0
447,0,0,400,龙,0,0
448,0,0,0,虎,0,0
449,100,0,0,虎,0,0
450,15600,100,300,龙,0,0
451,1000,27400,0,龙,0,0
452,4100,0,1400,虎,0,0
453,0,0,2342300,龙,0,0
454,0,0,300,和,0,0
455,400,0,1000,龙,0,0
456,0,0,400,龙,0,0
457,0,0,0,虎,0,0
458,0,0,500,龙,0,0
